name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Bakson's Rauvolfia Serpentina Dilution 3X,Bakson's Homeopathy,Rauvolfia Serpentina Dilution,,,Whole Body
Dr. Majumder Homeo World Aconitum Napellus Dilution (30ml Each) CM,Dr. Majumder Homeo World,Monkshood extracts,,,Eye
ADEL Melilotus Off Dilution 1M,Adel Pekana Germany,Melilotus Officinalis (Yellow sweet clover),,,Whole Body
ADEL Euphorbium Officinarum Dilution 1M,Adel Pekana Germany,Euphorbium,,,Others
LDD Bioscience Pix Liquida Dilution 1000 CH,LDD Bioscience Pvt Ltd,Pix Liquida,,,Throat
LDD Bioscience Mercurius Vivus Dilution 30 CH,LDD Bioscience Pvt Ltd,Mercurius vivus,,,Whole Body
Bjain Antimonium Tartaricum Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Antimonium tartaricum,,,Others
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 6,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
SBL Ricinus Communis 0/12 LM,SBL Pvt Ltd,,,,Others
SBL Natrum Muriaticum 0/20 LM,SBL Pvt Ltd,Natrum Muriaticum,4.7,,Heart
Bjain Conium Maculatum Globules 0/30 LM,Bjain Pharmaceuticals Pvt Ltd,Conium maculatum,,,Eye
Dr Willmar Schwabe Germany Iris Tenax Dilution 30,Dr Willmar Schwabe India Pvt Ltd,Iris Tenax,,,Eye
Dr. Majumder Homeo World Acdoins Vernalis Dilution (30 ml Each) 3X,Dr. Majumder Homeo World,Adonis Vernalis,,,Heart
Dr. Majumder Homeo World Acidum Hydrocyanicum Dilution (30ml Each) 12,Dr. Majumder Homeo World,Acidum Hydrocyanicum,,,Others
LDD Bioscience Phosphorus Dilution 1000 CH,LDD Bioscience Pvt Ltd,Phosphorus,,,Others
SBL Hyoscyamus Niger 0/22 LM,SBL Pvt Ltd,Extracts from vegetable of plant Hyoscyamus niger,,,Throat
Dr. Majumder Homeo World Arbus Precatorius Dilution (30ml Each) 200 CH,Dr. Majumder Homeo World,Abrus Precatorius,,,Others
SBL Justicia Adhatoda 0/16 LM,SBL Pvt Ltd,Justicia Adhatoda,,,Throat
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 3,Dr. Majumder Homeo World,Acidum Salicylicum,,,Joints
SBL Silicea 0/19 LM,SBL Pvt Ltd,Silicon dioxideEthanolWater,,,Joints
Bjain Dioscorea Villosa Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Dioscorea villosa,,,Heart
SBL Causticum 0/19 LM,SBL Pvt Ltd,Natrum causticumAlcohol,4.4,,Eye
Bjain Aegle Marmelos Dilution 200C,Bjain Pharmaceuticals Pvt Ltd,Abroma Radix,,,Others
Dr. Majumder Homeo World Abies Canadensis Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Abies canadensis,,,Others
SBL Mezereum 0/11 LM,SBL Pvt Ltd,,,,Others
Bjain Drosera Rotundifolia Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,Drosera rotundifolia,,,Joints
SBL Aurum Metallicum 0/15 LM,SBL Pvt Ltd,,,,Others
SBL Ipecacuanha 0/14 LM,SBL Pvt Ltd,,,,Others
LDD Bioscience Anatherum Muricatum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Anagalis Arv,,,Others
SBL Cinchona Officinalis 0/7 LM,SBL Pvt Ltd,Cinchona Officinalis,,,Others
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 10M,Dr. Majumder Homeo World,Acidum Salicylicum,,,Joints
SBL Arsenicum Iodatum 0/29 LM,SBL Pvt Ltd,,,,Others
SBL Plantago Major 0/20 LM,SBL Pvt Ltd,Plantago,,,Stomach
Dr. Majumder Homeo World Blumea Odorata Dilution(30ml Each) 200,Dr. Majumder Homeo World,Blumea Odorata,,,Throat
Dr. Majumder Homeo World Abies Canadensis Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Abies canadensis,,,Others
SBL Ambra Grisea 0/7 LM,SBL Pvt Ltd,Ambra griseaAlcohol,,,Others
Bjain Acalypha Indica Dilution 6C,Bjain Pharmaceuticals Pvt Ltd,Acalypha,,,Others
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Acidum Salicylicum,,,Joints
Bjain Copaiba Officinalis Dilution 6C,Bjain Pharmaceuticals Pvt Ltd,Bark of the Copaiba,,,Others
SBL Hekla Lava 0/7 LM,SBL Pvt Ltd,Fine ash from mount heclaEthanolWaterGlycerolOils,,,Joints
Bjain Salvia Officinalis Dilution 6C,Bjain Pharmaceuticals Pvt Ltd,Natural extracts of salvia,,,Throat
ADEL Berberis Vulg. Dilution 3X,Adel Pekana Germany,Berberis Vulgaris,,,Kidney
SBL Symphytum Officinale 0/5 LM,SBL Pvt Ltd,Plant extract of the family BoraginaceaeEthanolWater,,,Eye
Bjain Acidum Boracicum Globules 0/8 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum Boracicum,,,Pancreas
SBL Croton Tiglium 0/25 LM,SBL Pvt Ltd,Extracts from the Croton Tiglium plant,,,Others
LDD Bioscience Calcarea Carbonica Dilution 1000 CH,LDD Bioscience Pvt Ltd,Calcarea carbonica,,,Skin
LDD Bioscience Aviaire Dilution 1000 CH,LDD Bioscience Pvt Ltd,Aviaire,,,Others
Bjain Polygonum Punctatum Dilution 6X,Bjain Pharmaceuticals Pvt Ltd,A type of flowering plant commonly known as dotted weed or smartweed,,,Others
SBL Dulcamara 0/16 LM,SBL Pvt Ltd,,,,Others
Dr. Majumder Homeo World Acidum Benzoicum Dilution (30ml Each) 3 CH,Dr. Majumder Homeo World,Acidum Benzoicum,,,Whole Body
SBL Mercurius Solubilis 0/27 LM,SBL Pvt Ltd,,,,Others
Bjain Epigaea Repens Dilution 30C,Bjain Pharmaceuticals Pvt Ltd,Epigaea repens,,,Kidney
Bjain Verbascum Thapsus Dilution 6 CH,Bjain Pharmaceuticals Pvt Ltd,Verbascum Thapsus,,,Kidney
SBL Aethusa Cynapium 0/15 LM,SBL Pvt Ltd,,,,Others
Dr. Majumder Homeo World Aconitum Napellus Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Monkshood extracts,,,Eye
Bjain Dulcamara Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,Dulcamara,,,Others
SBL Collinsonia Canadensis 0/4 LM,SBL Pvt Ltd,Roots of Collinsonia Canadensis plantEthanol,,,Heart
Bjain Sepia Globules 0/21 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Croton Tiglium 0/27 LM,SBL Pvt Ltd,Extracts from the Croton Tiglium plant,,,Others
SBL Bryonia Alba 0/13 LM,SBL Pvt Ltd,Bryonia Alba,,,Others
SBL Allium Sativum 0/9 LM,SBL Pvt Ltd,GarlicAlcohol,,,Throat
SBL Blatta Orientalis 0/9 LM,SBL Pvt Ltd,Triturated live insectsSugar of milk,,,Others
SBL Cuprum Arsenicosum 0/27 LM,SBL Pvt Ltd,,,,Heart
LDD Bioscience Aralia Racemosa Dilution 1000 CH,LDD Bioscience Pvt Ltd,Aralia Racemosa,,,Others
LDD Bioscience Baptisia Tinctoria Dilution 1000 CH,LDD Bioscience Pvt Ltd,Baptisia Tinctoria,,,Others
Dr. Majumder Homeo World Aconitum Ferox Dilution ( 30ml Each) 1M,Dr. Majumder Homeo World,Aconitum Ferox Dilution,,,Whole Body
SBL Veratrum Album 0/11 LM,SBL Pvt Ltd,Veratrum Album,,,Heart
LDD Bioscience Acidum Salicylicum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Acidum Salicylicum,,,Joints
SBL Acidum Carbolicum 0/20 LM,SBL Pvt Ltd,,,,Others
SBL Abrotanum 0/18 LM,SBL Pvt Ltd,,,,Others
SBL Caesalpinia Bounducella Dilution 12 CH,SBL Pvt Ltd,Caesalpinia Bonducella,,,Others
Dr. Majumder Homeo World Boerhaavia Diffusa 12,Dr. Majumder Homeo World,Boerhaavia diffusa,,,Heart
LDD Bioscience Argentum Phosphoricum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Argentum Phosphoricum,,,Joints
Bjain Acidum Muriaticum Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum muriaticum,,,Nerves
Similia Biocom No.24 Tablet,Similia Homoeo Laboratory,Calcarea phosphoricaFerrum phosphoricumKalium phosphoricumMagnesia phosphoricaNatrum phosphoricum,,,Joints
Bjain Ferrum Metallicum Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Ferrum Metallicum,,,Others
Bjain Calcarea Silicata Globules 0/17 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea silicata,,,Eye
SBL Helonias Dioica 0/22 LM,SBL Pvt Ltd,Helonias Dioica,,,Pancreas
Rxhomeo Aurum Mur Nat 1M,Rxhomeo Private Limited,Aurum Muriaticum Natronatum,,,Others
Bjain Alumina Globules 0/11 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Ferrum Phosphoricum 0/13 LM,SBL Pvt Ltd,Ferrum PhosphoricumAlcohol,,,Others
LDD Bioscience Zincum Phosphoricum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Zincum Phosphoricum,,,Others
Bjain Graphites Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Graphites,,,Others
SBL Uranium Nitricum 0/8 LM,SBL Pvt Ltd,Uranium nitrateEthanolWater,,,Eye
Bjain Stannum Metallicum Dilution 12 CH,Bjain Pharmaceuticals Pvt Ltd,Stannum Metallicum,,,Joints
SBL Menyanthes Trifoliata Dilution 3 CH,SBL Pvt Ltd,,,,Others
SBL Acidum Aceticum 0/12 LM,SBL Pvt Ltd,,,,Others
Bjain Acidum Boracicum Dilution 30 CH,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Chininum Sulphuricum 0/3 LM,SBL Pvt Ltd,,,,Others
SBL Terebinthinae Oleum 0/23 LM,SBL Pvt Ltd,Turpentine oilEthanolWater,,,Kidney
LDD Bioscience Lithium Carbonicum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Lithium carbonicum,,,Eye
SBL Pothos Foetidus 0/3 LM,SBL Pvt Ltd,Lactose EthanolWater,,,Head
SBL Euphrasia Officinalis 0/21 LM,SBL Pvt Ltd,Euphrasia Officinalis,,,Others
SBL Carbo Vegetabilis 0/25 LM,SBL Pvt Ltd,Carbo vegetabilisAlcohol,,,Others
Dr. Majumder Homeo World Boerhaavia Diffusa 50M,Dr. Majumder Homeo World,Boerhaavia diffusa,,,Heart
Bjain Acidum Boracicum Globules 0/1 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum Boracicum,,,Pancreas
Bjain Bismuthum Metallicum Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
LDD Bioscience Berberis Aquifolium Dilution 30 CH,LDD Bioscience Pvt Ltd,Berberis aquifolium,,,Eye
LDD Bioscience Drosera R Dilution 200,LDD Bioscience Pvt Ltd,Drosera Rotundifolia,,,Joints
SBL Stramonium 0/23 LM,SBL Pvt Ltd,Extra Neutral AlcoholWater,,,Brain
LDD Bioscience Phytolacca B Dilution 1000 CH,LDD Bioscience Pvt Ltd,Phytolacca Berries,,,Whole Body
Bjain Apocynum Cannabinum Globules 0/9 LM,Bjain Pharmaceuticals Pvt Ltd,Apocynum Cannabinum,,,Others
SBL Ferrum Phosphoricum 0/24 LM,SBL Pvt Ltd,Ferrum PhosphoricumAlcohol,,,Others
Dr. Majumder Homeo World Aconitum Napellus Dilution (30ml Each) 3X,Dr. Majumder Homeo World,Monkshood extracts,,,Eye
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 12,Dr. Majumder Homeo World,Acidum Salicylicum,,,Joints
Bakson's Taraxacum Officinale Dilution 1M,Bakson's Homeopathy,Sticta Pulmonaria,,,Others
SBL Chamomilla 0/28 LM,SBL Pvt Ltd,Plant extract of chamomilla matricaria (corn fever few)Ethanol,,,Others
LDD Bioscience Latrodect M Dilution 30 CH,LDD Bioscience Pvt Ltd,Latrodect,,,Head
Wheezal Ferrum Arsenicum Trituration Tablet 3X,Wheezal Homeo Pharma,Ferrum Arsenicum,,,Others
Bjain Mercurius Iodatus Ruber Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Mercurius iodatus ruber,,,Joints
Bjain Iodium Globules 0/4 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
Bjain Conium Maculatum Globules 0/27 LM,Bjain Pharmaceuticals Pvt Ltd,Conium maculatum,,,Eye
SBL Dioscorea Villosa 0/21 LM,SBL Pvt Ltd,Dioscorea Villosa,,,Others
SBL Belladonna 0/7 LM,SBL Pvt Ltd,Belladonna,,,Others
LDD Bioscience Calcarea Picrata Dilution 30 CH,LDD Bioscience Pvt Ltd,Calcarea picrata,,,Eye
SBL Aranea Diadema 0/25 LM,SBL Pvt Ltd,Papal-cross spider,,,Others
LDD Bioscience Sanguinarinum Nitricum Dilution 30 CH,LDD Bioscience Pvt Ltd,Sanguinarinum Nitricum,,,Throat
Bjain Mercurius Corrosivus Globules 0/30 LM,Bjain Pharmaceuticals Pvt Ltd,Mercurius corrosivus,,,Others
Dr. Majumder Homeo World Blumea Odorata Dilution(30ml Each) 6,Dr. Majumder Homeo World,Blumea Odorata,,,Throat
SBL Acidum Sulphuricum 0/16 LM,SBL Pvt Ltd,,,,Others
Bjain Natrum Sulphuricum Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Magnesia Carbonica 0/23 LM,SBL Pvt Ltd,Magnesia Carbonica,,,Others
Bjain Kalium Iodatum Globules 0/21 LM,Bjain Pharmaceuticals Pvt Ltd,Kalium iodatum,,,Whole Body
Pioneer Pharma Bio-Combination No 15 Tablet,Pioneer Homoeo Pharma Pvt Ltd,Calcarea phosKali sulphFerrum phosKali phosMagnesium phos,,,Whole Body
SBL Cocculus Indicus 0/27 LM,SBL Pvt Ltd,Cocculus natural extracts,,,Others
SBL Cantharis 0/14 LM,SBL Pvt Ltd,,,,Others
SBL Petroleum 0/22 LM,SBL Pvt Ltd,Alcohol,,,Eye
Bjain Conium Maculatum Globules 0/4 LM,Bjain Pharmaceuticals Pvt Ltd,Conium maculatum,,,Eye
Dr. Majumder Homeo World Acidum Tartaricum Dilution (30ml Each) 3,Dr. Majumder Homeo World,Acidum Tartaricum,,,Whole Body
Dr. Majumder Homeo World Acidum Hydrocyanicum Dilution (30ml Each) 3,Dr. Majumder Homeo World,Acidum Hydrocyanicum,,,Others
Bjain Colocynthis Globules 0/27 LM,Bjain Pharmaceuticals Pvt Ltd,Colocynthis,,,Head
Bjain Argemone Mexcana Dilution 6C,Bjain Pharmaceuticals Pvt Ltd,Argemone Mexicana,,,Others
LDD Bioscience Leptandra V Dilution 1000 CH,LDD Bioscience Pvt Ltd,Leptandra,,,Intestine
Dr Willmar Schwabe Germany Aralia Racemosa Dilution 200,Dr Willmar Schwabe India Pvt Ltd,Aralia racemosa,,,Throat
LDD Bioscience Acidum Lacticum Dilution 30 CH,LDD Bioscience Pvt Ltd,Acidum Lacticum,,,Joints
Bjain Acidum Muriaticum Globules 0/16 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum muriaticum,,,Nerves
SBL Santoninum 0/16 LM,SBL Pvt Ltd,,,,Others
SBL Acidum Aceticum 0/27 LM,SBL Pvt Ltd,,,,Others
Bjain Acidum Nitricum Globules 0/23 LM,Bjain Pharmaceuticals Pvt Ltd,Acidum nitricum,,,Hair
Bjain Kalium Iodatum Globules 0/2 LM,Bjain Pharmaceuticals Pvt Ltd,Kalium iodatum,,,Whole Body
SBL Staphysagria 0/28 LM,SBL Pvt Ltd,Seeds of staphysagria with alcohol,,,Hair
Bjain Anacardium Orientale Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Anacardium orientale,,,Others
SBL Secale Cornutum 0/21 LM,SBL Pvt Ltd,Secale cornutum phytochemicals,,,Intestine
Dr. Majumder Homeo World Arbus Precatorius Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Abrus Precatorius,,,Others
SBL Alfalfa 0/24 LM,SBL Pvt Ltd,Plant extract of medicago sativaEthanol,,,Heart
Bjain Camphora Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Camphora,,,Joints
Bjain Collinsonia Canadensis Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Collinsonia canadensis,,,Throat
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 50M,Dr. Majumder Homeo World,Acidum Salicylicum,,,Joints
SBL Cantharis 0/6 LM,SBL Pvt Ltd,,,,Others
SBL Stramonium 0/14 LM,SBL Pvt Ltd,Extra Neutral AlcoholWater,,,Brain
SBL Urtica Urens 0/28 LM,SBL Pvt Ltd,Urtica Urens,,,Nerves
Dr. Majumder Homeo World Aconitum Napellus Dilution (30ml Each) CM,Dr. Majumder Homeo World,Monkshood extracts,,,Eye
SBL Hypericum Perforatum 0/28 LM,SBL Pvt Ltd,Extracts of whole blooming hypericum plant.,,,Joints
Bjain Camphora Globules 0/8 LM,Bjain Pharmaceuticals Pvt Ltd,Camphora,,,Joints
Bjain Collinsonia Canadensis Globules 0/20 LM,Bjain Pharmaceuticals Pvt Ltd,Collinsonia canadensis,,,Throat
Bjain Calcarea Phosphorica Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Calcarea phosphorica,,,Joints
Dr. Majumder Homeo World Acidum Gallicum Dilution (30ml Each) 6,Dr. Majumder Homeo World,Acidum gallicum with alcohol,,,Others
SBL Cistus Canadensis 0/4 LM,SBL Pvt Ltd,,,,Others
SBL Allium Cepa 0/2 LM,SBL Pvt Ltd,Bulb of the onion,,,Eye
SBL Ignatia Amara 0/13 LM,SBL Pvt Ltd,Genuine powdered extracts from dried seeds of Ignatia fruit,,,Eye
Bjain Ipecacuanha Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Ipecacuanha,,,Whole Body
SBL Stramonium 0/26 LM,SBL Pvt Ltd,Extra Neutral AlcoholWater,,,Brain
Bjain Apocynum Cannabinum Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,Apocynum Cannabinum,,,Others
SBL Janosia Ashoka Dilution 12 CH,SBL Pvt Ltd,KetosterolOeganic calcium compoundPhenolic glycosideSaracin,,,Head
Dr. Majumder Homeo World Acidum Hippuricum Dilution (30ml Each) 50M,Dr. Majumder Homeo World,Hippuricum acid,,,Others
Dr. Majumder Homeo World Acidum Phosphoricum Dilution (30ml Each) CM,Dr. Majumder Homeo World,Acidum Phosphoricum,,,Hair
SBL Ammonium Muriaticum 0/19 LM,SBL Pvt Ltd,Ammonium chloride with alcohol,,,Others
Bjain Abrotanum Globules 0/6 LM,Bjain Pharmaceuticals Pvt Ltd,Abrotanum,,,Joints
Bjain Colocynthis Globules 0/15 LM,Bjain Pharmaceuticals Pvt Ltd,Colocynthis,,,Head
Bjain Natrum Muriaticum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
Bjain Alumina Globules 0/19 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Uranium Nitricum 0/26 LM,SBL Pvt Ltd,Uranium nitrateEthanolWater,,,Eye
SBL Sanguinaria Canadensis 0/3 LM,SBL Pvt Ltd,Extra neutral alcohol (ENA),,,Others
SBL Staphysagria 0/24 LM,SBL Pvt Ltd,Seeds of staphysagria with alcohol,,,Hair
SBL Plantago Major 0/26 LM,SBL Pvt Ltd,Plantago,,,Stomach
SBL Leptandra 0/9 LM,SBL Pvt Ltd,Leptandra,,,Intestine
LDD Bioscience Erigeron Canadense Dilution 1000 CH,LDD Bioscience Pvt Ltd,Equisetum hyemale,,,Intestine
SBL Senecio Aureus 0/14 LM,SBL Pvt Ltd,,,,Others
Dr. Majumder Homeo World Aconitum Ferox Dilution (30ml Each) CM,Dr. Majumder Homeo World,Aconitum Ferox Dilution,,,Whole Body
Dr. Majumder Homeo World Aconitum Ferox Dilution ( 30ml Each) 3,Dr. Majumder Homeo World,Aconitum Ferox Dilution,,,Whole Body
Bjain Anacardium Orientale Globules 0/23 LM,Bjain Pharmaceuticals Pvt Ltd,Anacardium orientale,,,Others
SBL Ferrum Metallicum 0/2 LM,SBL Pvt Ltd,Powdered iron of iron ore,,,Others
LDD Bioscience Allium Sativum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Allium sativum,,,Others
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 6,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
Bjain Bismuthum Metallicum Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
Bakson's Calcarea Hypophosphorosa Dilution 10M,Bakson's Homeopathy,Calcarea hypophosphorosa,,,Joints
LDD Bioscience Caulophylum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Caulophylum,,,Joints
SBL Causticum 0/15 LM,SBL Pvt Ltd,Natrum causticumAlcohol,4.4,,Eye
SBL Cistus Canadensis 0/1 LM,SBL Pvt Ltd,,,,Others
Bjain Antimonium Tartaricum Globules 0/19 LM,Bjain Pharmaceuticals Pvt Ltd,Antimonium tartaricum,,,Others
Bjain Badagia Dilution 50M CH,Bjain Pharmaceuticals Pvt Ltd,Badagia,,,Others
Bjain Sanguinaria Canadensis Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
Bjain Ranunculus Sceleratus Dilution 200C,Bjain Pharmaceuticals Pvt Ltd,Ranunculus sceleratus,,,Skin
Bjain Mercurius Iodatus Ruber Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Mercurius iodatus ruber,,,Joints
LDD Bioscience Gratiola Officinalis Dilution 1000 CH,LDD Bioscience Pvt Ltd,Gratiola officinalis,,,Others
SBL Helleborus Niger 0/13 LM,SBL Pvt Ltd,,,,Others
LDD Bioscience Cistus Canadensis Dilution 1000 CH,LDD Bioscience Pvt Ltd,Cistus canadensis,,,Stomach
SBL Magnesia Muriatica 0/10 LM,SBL Pvt Ltd,Magnesium Muriaticum,,,Whole Body
Bjain Colchicum Autumnale Globules 0/13 LM,Bjain Pharmaceuticals Pvt Ltd,Colchicum autumnale,,,Joints
Bjain Rhododendron Chrysanthum Dilution 1000 CH,Bjain Pharmaceuticals Pvt Ltd,Rhododendron Chrysanthum,,,Others
LDD Bioscience Kali Arsenicosum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Kali Arsenicosum,,,Skin
LDD Bioscience Gun Powder Dilution 1000 CH,LDD Bioscience Pvt Ltd,Gun Powder,,,Others
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 12,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
Bjain Graphites Globules 0/18 LM,Bjain Pharmaceuticals Pvt Ltd,Graphites,,,Others
Bakson's Senega Dilution 6X,Bakson's Homeopathy,Senega Dilution,,,Eye
Bjain Colocynthis Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,Colocynthis,,,Head
SBL Terebinthinae Oleum 0/16 LM,SBL Pvt Ltd,Turpentine oilEthanolWater,,,Kidney
SBL Acidum Nitricum 0/19 LM,SBL Pvt Ltd,,,,Others
SBL Collinsonia Canadensis 0/8 LM,SBL Pvt Ltd,Roots of Collinsonia Canadensis plantEthanol,,,Heart
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 6,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
Bjain Natrum Sulphuricum Globules 0/17 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
LDD Bioscience Ignatia Amara Dilution 1000 CH,LDD Bioscience Pvt Ltd,Ignatia Amara,,,Eye
Ralson Remedies Bio-Combination 26 Tablet,Ralson Remedies Pvt Ltd,Calcarea PhosphoricaCalcarea FluoricaKalium PhosphoricumMagnesia Phosphorica,,,Others
SBL Veratrum Album 0/9 LM,SBL Pvt Ltd,Veratrum Album,,,Heart
Bjain Natrum Muriaticum Globules 0/24 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Leptandra 0/22 LM,SBL Pvt Ltd,Leptandra,,,Intestine
Bjain Dioscorea Villosa Globules 0/26 LM,Bjain Pharmaceuticals Pvt Ltd,Dioscorea villosa,,,Heart
Dr. Majumder Homeo World Acidum Aceticum Dilution (30ml Each) 6 CH,Dr. Majumder Homeo World,Acidum Aceticum,,,Eye
LDD Bioscience Angustura Vera Dilution 1000 CH,LDD Bioscience Pvt Ltd,Angustura Vera,,,Others
Bjain Sarsaparilla Globules 0/3 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Ipecacuanha 0/6 LM,SBL Pvt Ltd,,,,Others
SBL Coccus Cacti 0/2 LM,SBL Pvt Ltd,CochinealExtra neutral alcohol,,,Others
SBL Kali Muriaticum 0/27 LM,SBL Pvt Ltd,,,,Others
SBL Aethusa Cynapium 0/9 LM,SBL Pvt Ltd,,,,Others
Ralson Remedies Ferrum Phosphoricum Biochemic Tablet 3X,Ralson Remedies Pvt Ltd,Ferrum Phosphorica,,,Others
LDD Bioscience Argentum Iodatum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Argentum Iodatum,,,Others
Bakson's Sambucus Nigra Dilution 6X,Bakson's Homeopathy,Sambucus Nigra Dilution,,,Others
Dr. Majumder Homeo World Acidum Nitricum Dilution (30ml Each) CM,Dr. Majumder Homeo World,Acidum Nitricum,,,Head
Bjain Kalium Iodatum Globules 0/28 LM,Bjain Pharmaceuticals Pvt Ltd,Kalium iodatum,,,Whole Body
LDD Bioscience Symphoricarpus Racemosus Dilution 1000 CH,LDD Bioscience Pvt Ltd,Symphoricarpus racemosus,,,Others
Bjain Ignatia Amara Globules 0/29 LM,Bjain Pharmaceuticals Pvt Ltd,,,,Others
SBL Argentum Metallicum 0/29 LM,SBL Pvt Ltd,Argentum Metallicum (silver),,,Others
Dr. Majumder Homeo World Acidum Tartaricum Dilution (30ml Each) 10M,Dr. Majumder Homeo World,Acidum Tartaricum,,,Whole Body
SBL Sabina 0/25 LM,SBL Pvt Ltd,,,,Others
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 3,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
SBL Silicea 0/26 LM,SBL Pvt Ltd,Silicon dioxideEthanolWater,,,Joints
LDD Bioscience Bufo Rana Dilution 1000 CH,LDD Bioscience Pvt Ltd,Bufo Rana,,,Skin
Dr. Majumder Homeo World Acidum Hippuricum Dilution (30ml Each) 1M,Dr. Majumder Homeo World,Hippuricum acid,,,Others
Bjain Collinsonia Canadensis Globules 0/10 LM,Bjain Pharmaceuticals Pvt Ltd,Collinsonia canadensis,,,Throat
SBL Abrotanum 0/8 LM,SBL Pvt Ltd,,,,Others
SBL Ammonium Muriaticum 0/24 LM,SBL Pvt Ltd,Ammonium chloride with alcohol,,,Others
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 30,Dr. Majumder Homeo World,Acidum Tannicum,,,Intestine
SBL Cicuta Virosa 0/12 LM,SBL Pvt Ltd,Cicuta Virosa,,,Others
LDD Bioscience Antimonium Arsenicum Dilution 1000 CH,LDD Bioscience Pvt Ltd,Antimonium Arsenicum,,,Eye
Dr. Majumder Homeo World Acidum Hippuricum Dilution (30ml Each) 50M,Dr. Majumder Homeo World,Hippuricum acid,,,Others
Dr Willmar Schwabe Germany Lilium Tigrinum (Lilium Lancifolium) Dilution 30,Dr Willmar Schwabe India Pvt Ltd,Lilium Tigrinum (Lilium Lancifolium)Alcohol,,,Heart
Bjain Conium Maculatum Globules 0/5 LM,Bjain Pharmaceuticals Pvt Ltd,Conium maculatum,,,Eye
SBL Allium Sativum 0/5 LM,SBL Pvt Ltd,GarlicAlcohol,,,Throat
