name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Wheezal Hekla Lava Dental Cream,Wheezal Homeo Pharma,"Plantago Q, Calendula Q, Calc. Phos. 3x, AzadirachtaIndica Q, Staphysagria Q, Kreosote Q, Calc.Carb. 3x, Hekla Lava 3x, Calc. Fluor. 3x, Merc Cor. 3x",4.5,474,Others
SBL Rite-Hite Tablet,SBL Pvt Ltd,Baryta CarbonicaSiliceaNatrum MuriaticumCalcarea Phosphorica,4.3,293,Stomach
Dr. Reckeweg Lycopodium Dilution 200 CH,Dr Reckeweg & Co,Lycopodium Clavatum,4.5,592,Kidney
SBL FP-Tabs Tablet,SBL Pvt Ltd,Hamamelis VirginicaAesculus HippocastanumAloe Socotrina,4.4,401,Others
SBL Homeocal Tablet,SBL Pvt Ltd,Calcerea carbonica 3xCalcarea fluorica 3xCalcarea phosphorica 3xSilicea 3x,4.6,403,Joints
SBL Sulphur Dilution 200 CH,SBL Pvt Ltd,Sugar of milkThe saturated solution of sulphurAbsolute alcohol,4.4,863,Joints
SBL Bryonia Alba Dilution 200 CH,SBL Pvt Ltd,Bryonia Alba,4.6,1073,Joints
Bakson's Pilgo Tablet,Bakson's Homeopathy,RatanhiaHamamelis virginicaAesculus hippocastanumAloe socotrina,4.4,247,Whole Body
Dr. Reckeweg R18 Kidney And Bladder Drop,Dr Reckeweg & Co,BerberisCantharisEquisetum hiemaleEupatorium purpuremDulcamara,4.5,163,Kidney
Haslab Drox 24 Sciatec Drop,HASLAB,Colocynth 3xAconite 3xGnaphallium 3xMagnum Acet. 3xRhusTox 3x,4.3,41,Whole Body
New Life Bach Flower Rescue Remedy 30,New Life Laboratories Pvt Ltd,"Rock Rose, Cherry Plum, Impatiens, Clematis",4.4,549,Others
ADEL 4 Apo-Rheum Drop,Adel Pekana Germany,"Arnica montana 6x, Bryonia cretica 6x, Colchicum autumnale 4x, Gnaphalium obtusifolium 4x, Guajacum 6x, Lachnanthes tinctoria 4x, Solanum dulcamara 4x, Taraxacum officinalis 4x.",4.4,218,Whole Body
SBL Rauwolfia Serpentina Mother Tincture Q,SBL Pvt Ltd,Rauwolfia Serpentina,4.5,351,Head
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,SBL Pvt Ltd,Alfalfa QAvena sativa QGinseng QCinchona officinalis 2xHydrastis canadensis 2xKalium phosphoricum 3xKalium arsenicosum 4xFerrum aceticum 3xCalcarea phosphorica 3x,4.4,224,Others
SBL Avena Sativa Mother Tincture Q,SBL Pvt Ltd,Avena Sativa,4.5,287,Others
SBL Bio-Combination 25 Tablet,SBL Pvt Ltd,,4.7,383,Others
SBL Tribulus Terrestris Mother Tincture Q,SBL Pvt Ltd,Tribulus Terrestris,4.4,253,Others
SBL Terminalia Arjuna Mother Tincture Q,SBL Pvt Ltd,Terminalia Arjuna,4.7,318,Heart
SBL Bio-Combination 20 Tablet,SBL Pvt Ltd,Calcarea fluoricaCalcarea sulphuricaNatrum muriaticumKalium sulphuricumNatrum sulphuricum,4.4,286,Others
Bakson's Sinus Aid Tablet,Bakson's Homeopathy,Arsenicum album 6xCalcarea carbonica 3xHydrastis canadensis 3xKali bichromicum 3xPulsatilla nigricans 3x,4.4,113,Others
SBL Carbo Vegetabilis Dilution 30 CH,SBL Pvt Ltd,Carbo Vegetabilis,4.6,914,Hair
Dr. Reckeweg R1 Inflammation Drop,Dr Reckeweg & Co,Apis melificaBarium chloratumBelladonaCalcium jodatumHepar sulfurisKalium bichromicumMarum verumMercurius sublimatus corrosivusPhytolacca,4.7,215,Skin
SBL Cineraria Maritima Euphrasia Eye Drop,SBL Pvt Ltd,Cineraria MaritimaEuphrasia OfficinalisCalendula OfficinalisKali MuriaticumCalcarea FluoricaMagnesia CarbonicaSiliceaBoric acid,4.5,504,Eye
SBL Scalptone Tablet,SBL Pvt Ltd,,4.3,324,Others
SBL Gymnema Sylvestre Mother Tincture Q,SBL Pvt Ltd,Extract of perennial woody vineEthanolWater,4.6,343,Others
SBL Arnica Gel,SBL Pvt Ltd,Arnica MontanaParaffinumMolle,4.7,309,Joints
SBL B-Trim Drop,SBL Pvt Ltd,Calcarea carbonicaThyroidinumFucus vesiculosusPhytolacca berry,4.1,144,Others
Dr. Reckeweg R2 Essentia Aurea-Gold Drop,Dr Reckeweg & Co,AconitumArnicaAurum chloratumCactusCrataegusDigitalisIgnatiaKalium phosphoriumLaurocerasusSpigelia anthelmiaValeriana39 vol. % Alcohol,4.8,184,Heart
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,,4.5,226,Others
SBL Nixocid Tablet,SBL Pvt Ltd,Naturm phosphoricumCarbo vegetablilisRobinia psedacaciaLycopodium clavatum,4.5,386,Heart
Hapdco Marks Go Cream,HAPDCO,Curcuma longaRosa centifoliaOcimum sanctumCitrus medicaAzadirachtaindicaSantalum albumAloe veraCrocus sativusTriticumsativumCream base,4.1,271,Skin
Dr. Reckeweg Lycopodium Dilution 30 CH,Dr Reckeweg & Co,Lycopodium Clavatum,4.5,592,Kidney
Dr. Reckeweg Aconitum Napellus Dilution 30 CH,Dr Reckeweg & Co,Extract of the plant monkshoodEthanol,4.7,425,Eye
SBL Caladium Seguinum Dilution 30 CH,SBL Pvt Ltd,Caladium Seguinum,4.2,555,Stomach
Dr. Reckeweg Carbo Veg Dilution 30 CH,Dr Reckeweg & Co,"Carbo Vegetabilis, Alcohol",4.7,527,Intestine
SBL Passiflora Incarnata Mother Tincture Q,SBL Pvt Ltd,Passiflora Incarnata,4.6,299,Throat
Dr. Reckeweg R14 Nerve And Sleep Drop,Dr Reckeweg & Co,,4.4,189,Others
Bakson's Kali Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,Kali phosphoricum 200x.,4.4,28,Throat
